Combination,Number
Atelectasis,6135
Cardiomegaly,8325
Consolidation,685
Edema,4215
Enlarged Cardiomediastinum,1309
Fracture,1533
Lung Lesion,1230
Lung Opacity,5033
No Finding,66953
Pleural Effusion,4948
Pleural Other,278
Pneumonia,2938
Pneumothorax,3026
"Atelectasis, Cardiomegaly",2265
"Atelectasis, Consolidation",256
"Atelectasis, Edema",764
"Atelectasis, Enlarged Cardiomediastinum",425
"Atelectasis, Fracture",180
"Atelectasis, Lung Lesion",143
"Atelectasis, Lung Opacity",2604
"Atelectasis, Pleural Effusion",4463
"Atelectasis, Pleural Other",47
"Atelectasis, Pneumonia",519
"Atelectasis, Pneumothorax",562
"Cardiomegaly, Consolidation",112
"Cardiomegaly, Edema",3145
"Cardiomegaly, Enlarged Cardiomediastinum",896
"Cardiomegaly, Fracture",193
"Cardiomegaly, Lung Lesion",140
"Cardiomegaly, Lung Opacity",1623
"Cardiomegaly, Pleural Effusion",1728
"Cardiomegaly, Pleural Other",80
"Cardiomegaly, Pneumonia",313
"Cardiomegaly, Pneumothorax",496
"Consolidation, Edema",134
"Consolidation, Enlarged Cardiomediastinum",70
"Consolidation, Fracture",17
"Consolidation, Lung Lesion",58
"Consolidation, Lung Opacity",405
"Consolidation, Pleural Effusion",546
"Consolidation, Pleural Other",10
"Consolidation, Pneumonia",742
"Consolidation, Pneumothorax",76
"Edema, Enlarged Cardiomediastinum",209
"Edema, Fracture",48
"Edema, Lung Lesion",52
"Edema, Lung Opacity",916
"Edema, Pleural Effusion",2578
"Edema, Pleural Other",24
"Edema, Pneumonia",542
"Edema, Pneumothorax",97
"Enlarged Cardiomediastinum, Fracture",50
"Enlarged Cardiomediastinum, Lung Lesion",70
"Enlarged Cardiomediastinum, Lung Opacity",353
"Enlarged Cardiomediastinum, Pleural Effusion",357
"Enlarged Cardiomediastinum, Pleural Other",22
"Enlarged Cardiomediastinum, Pneumonia",108
"Enlarged Cardiomediastinum, Pneumothorax",139
"Fracture, Lung Lesion",30
"Fracture, Lung Opacity",112
"Fracture, Pleural Effusion",133
"Fracture, Pleural Other",26
"Fracture, Pneumonia",24
"Fracture, Pneumothorax",120
"Lung Lesion, Lung Opacity",693
"Lung Lesion, Pleural Effusion",224
"Lung Lesion, Pleural Other",19
"Lung Lesion, Pneumonia",102
"Lung Lesion, Pneumothorax",43
"Lung Opacity, Pleural Effusion",1685
"Lung Opacity, Pleural Other",151
"Lung Opacity, Pneumonia",4033
"Lung Opacity, Pneumothorax",355
"Pleural Effusion, Pleural Other",192
"Pleural Effusion, Pneumonia",414
"Pleural Effusion, Pneumothorax",646
"Pleural Other, Pneumonia",26
"Pleural Other, Pneumothorax",18
"Pneumonia, Pneumothorax",23
"Atelectasis, Cardiomegaly, Consolidation",50
"Atelectasis, Cardiomegaly, Edema",726
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum",299
"Atelectasis, Cardiomegaly, Fracture",75
"Atelectasis, Cardiomegaly, Lung Lesion",35
"Atelectasis, Cardiomegaly, Lung Opacity",829
"Atelectasis, Cardiomegaly, Pleural Effusion",2627
"Atelectasis, Cardiomegaly, Pleural Other",18
"Atelectasis, Cardiomegaly, Pneumonia",130
"Atelectasis, Cardiomegaly, Pneumothorax",196
"Atelectasis, Consolidation, Edema",60
"Atelectasis, Consolidation, Enlarged Cardiomediastinum",23
"Atelectasis, Consolidation, Fracture",6
"Atelectasis, Consolidation, Lung Lesion",15
"Atelectasis, Consolidation, Lung Opacity",322
"Atelectasis, Consolidation, Pleural Effusion",484
"Atelectasis, Consolidation, Pleural Other",2
"Atelectasis, Consolidation, Pneumonia",175
"Atelectasis, Consolidation, Pneumothorax",22
"Atelectasis, Edema, Enlarged Cardiomediastinum",67
"Atelectasis, Edema, Fracture",7
"Atelectasis, Edema, Lung Lesion",9
"Atelectasis, Edema, Lung Opacity",333
"Atelectasis, Edema, Pleural Effusion",1394
"Atelectasis, Edema, Pleural Other",2
"Atelectasis, Edema, Pneumonia",93
"Atelectasis, Edema, Pneumothorax",42
"Atelectasis, Enlarged Cardiomediastinum, Fracture",11
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion",15
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity",317
"Atelectasis, Enlarged Cardiomediastinum, Pleural Effusion",577
"Atelectasis, Enlarged Cardiomediastinum, Pleural Other",3
"Atelectasis, Enlarged Cardiomediastinum, Pneumonia",13
"Atelectasis, Enlarged Cardiomediastinum, Pneumothorax",93
"Atelectasis, Fracture, Lung Lesion",4
"Atelectasis, Fracture, Lung Opacity",77
"Atelectasis, Fracture, Pleural Effusion",108
"Atelectasis, Fracture, Pleural Other",8
"Atelectasis, Fracture, Pneumonia",7
"Atelectasis, Fracture, Pneumothorax",38
"Atelectasis, Lung Lesion, Lung Opacity",142
"Atelectasis, Lung Lesion, Pleural Effusion",118
"Atelectasis, Lung Lesion, Pleural Other",3
"Atelectasis, Lung Lesion, Pneumonia",15
"Atelectasis, Lung Lesion, Pneumothorax",15
"Atelectasis, Lung Opacity, Pleural Effusion",1890
"Atelectasis, Lung Opacity, Pleural Other",20
"Atelectasis, Lung Opacity, Pneumonia",2900
"Atelectasis, Lung Opacity, Pneumothorax",163
"Atelectasis, Pleural Effusion, Pleural Other",57
"Atelectasis, Pleural Effusion, Pneumonia",376
"Atelectasis, Pleural Effusion, Pneumothorax",528
"Atelectasis, Pleural Other, Pneumonia",1
"Atelectasis, Pleural Other, Pneumothorax",2
"Atelectasis, Pneumonia, Pneumothorax",17
"Cardiomegaly, Consolidation, Edema",82
"Cardiomegaly, Consolidation, Enlarged Cardiomediastinum",129
"Cardiomegaly, Consolidation, Fracture",3
"Cardiomegaly, Consolidation, Lung Lesion",9
"Cardiomegaly, Consolidation, Lung Opacity",129
"Cardiomegaly, Consolidation, Pleural Effusion",228
"Cardiomegaly, Consolidation, Pleural Other",1
"Cardiomegaly, Consolidation, Pneumonia",67
"Cardiomegaly, Consolidation, Pneumothorax",13
"Cardiomegaly, Edema, Enlarged Cardiomediastinum",245
